family_category	model_sha256	current_bundle_role	next_rebuild_decision	seed_id	source_accession	organism	taxonomic_domain	evidence_level	sequence_length_aa	sequence_path	sequence_sha256	source_database	source_release	source_version	retrieval_date	source_url	doi	pmid	pmcid	literature_support_scope	bundle_header	bundle_sha256	bundle_membership_verified	notes
extracellular_mcl_pha_dep	75bf6bfabb660b775ba382b60cd487ab80175b88aa9500263f8a086f834218e8	provisional_model_seed	current_provisional_profile_seed	bac-CAQ46066	CAQ46066.1	Stenotrophomonas maltophilia K279a	Bacteria	E1	334	01_reference_library/seeds/bacteria/CAQ46066.1.faa	d901af2bf257106a07b449d99cd080ef9aaccb509aa383f405d1c777120d060e	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version CAQ46066.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/CAQ46066.1				recombinant mcl-PHA depolymerase activity assigned to smlt2590 in doctoral thesis work; direct PHO degradation activity	>bac-CAQ46066|CAQ46066.1	5ec186553e198bcf32c7f9a48de53d6fa7cbc86ef4b32a2c153d76708b1e1618	yes	Cross-genus mcl extension
extracellular_mcl_pha_dep	75bf6bfabb660b775ba382b60cd487ab80175b88aa9500263f8a086f834218e8	provisional_model_seed	current_provisional_profile_seed	bac-Q51718	Q51718	Pseudomonas fluorescens GK13	Bacteria	E1	278	01_reference_library/seeds/bacteria/Q51718.faa	2c360814ce4a451df29f382322749377bdb247dd2235504bd9e4a0aa82a73a92	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-25	https://www.uniprot.org/uniprotkb/Q51718/entry	10.1128/AEM.00337-10	20400568		direct extracellular mcl-PHA depolymerase activity	>bac-Q51718|Q51718	5ec186553e198bcf32c7f9a48de53d6fa7cbc86ef4b32a2c153d76708b1e1618	yes	PHA bridge row to retain boundary coverage beyond PHB-specific seeds
extracellular_mcl_pha_dep	75bf6bfabb660b775ba382b60cd487ab80175b88aa9500263f8a086f834218e8	provisional_model_seed	current_provisional_profile_seed	bac-Q6UFW4	Q6UFW4	Aquipseudomonas alcaligenes	Bacteria	E1	277	01_reference_library/seeds/bacteria/Q6UFW4.faa	99c29b25e2dd915716bc64c52899eae906d9544ef9160787f2c4f99bbc2b20a9	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/Q6UFW4/entry	10.1128/AEM.00913-06	16232726		direct extracellular mcl-PHA depolymerase evidence	>bac-Q6UFW4|Q6UFW4	5ec186553e198bcf32c7f9a48de53d6fa7cbc86ef4b32a2c153d76708b1e1618	yes	Independent extracellular mcl-PHA accession from the LB19 lineage.
extracellular_mcl_pha_dep	75bf6bfabb660b775ba382b60cd487ab80175b88aa9500263f8a086f834218e8	provisional_model_seed	current_provisional_profile_seed	bac-Q84C08	Q84C08	Aquipseudomonas alcaligenes	Bacteria	E1	278	01_reference_library/seeds/bacteria/Q84C08.faa	d2344e4f96179cba03db9ed81f5e22300b4a336f93fbc7a2ad5816d800d0cadb	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/Q84C08/entry	10.1128/AEM.00913-06	16232726		direct extracellular mcl-PHA depolymerase evidence	>bac-Q84C08|Q84C08	5ec186553e198bcf32c7f9a48de53d6fa7cbc86ef4b32a2c153d76708b1e1618	yes	Independent extracellular mcl-PHA accession from the M4-7 lineage.
extracellular_scl_pha_dep_type_I	8d38501c7ecc860bfb416dd46b1a6bca4151e46a133b14b20ec5ca47bf537744	provisional_model_seed	current_provisional_profile_seed	bac-A6EXA3	A6EXA3	Marinobacter algicola DG893	Bacteria	E1	580	01_reference_library/seeds/bacteria/A6EXA3.faa	545e24690f67a65227ba0cae30b9dc3c726c8accd0cdd3a9e48504a52b3c780a	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/A6EXA3/entry	10.1002/mbo3.1001	32087608		recombinant extracellular PHB depolymerase with plate-assay activity in the 2020 comparative panel	>bac-A6EXA3|A6EXA3	cf3dbdaf11816029de69c5057ac2b1f572d87cee8deaee89b28f02f74698eaef	yes	Type I reinforcement with an explicit gammaproteobacterial representative.
extracellular_scl_pha_dep_type_I	8d38501c7ecc860bfb416dd46b1a6bca4151e46a133b14b20ec5ca47bf537744	provisional_model_seed	current_provisional_profile_seed	bac-BAA32541	BAA32541.1	Stutzerimonas stutzeri	Bacteria	E1	576	01_reference_library/seeds/bacteria/BAA32541.1.faa	b3d7407c9b6d355167999df886e15f18691efb8aa6c53562c76db3de23cb907b	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version BAA32541.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/BAA32541.1	10.1128/AEM.65.1.189-197.1999	9872779		direct extracellular PHB depolymerase characterization with substrate-binding domain analysis	>bac-BAA32541|BAA32541.1	cf3dbdaf11816029de69c5057ac2b1f572d87cee8deaee89b28f02f74698eaef	yes	Cross-genus type I extension
extracellular_scl_pha_dep_type_I	8d38501c7ecc860bfb416dd46b1a6bca4151e46a133b14b20ec5ca47bf537744	provisional_model_seed	current_provisional_profile_seed	bac-BAF35850	BAF35850.1	Priestia megaterium N-18-25-9	Bacteria	E1	590	01_reference_library/seeds/bacteria/BAF35850.1.faa	0b6be1046de41e319520749d8b217b9e6e6cfce43bdb46eca7af182545a95f76	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version BAF35850.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/BAF35850.1	10.1111/j.1574-6968.2006.00448.x	17064368		direct biochemical extracellular PHB depolymerase evidence	>bac-BAF35850|BAF35850.1	cf3dbdaf11816029de69c5057ac2b1f572d87cee8deaee89b28f02f74698eaef	yes	Independent type I extracellular scl-PHA accession from Priestia megaterium N-18-25-9.
extracellular_scl_pha_dep_type_I	8d38501c7ecc860bfb416dd46b1a6bca4151e46a133b14b20ec5ca47bf537744	provisional_model_seed	current_provisional_profile_seed	bac-O82950	O82950	Stutzerimonas stutzeri	Bacteria	E1	576	01_reference_library/seeds/bacteria/O82950.faa	549e0f5bc37c14c57ca1140ff893986741d8bf8e049dc0f94c248874f2e3134f	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/O82950/entry	10.1128/AEM.65.1.189-197.1999	9872779		direct extracellular PHB depolymerase characterization with substrate-binding domain analysis	>bac-O82950|O82950	cf3dbdaf11816029de69c5057ac2b1f572d87cee8deaee89b28f02f74698eaef	yes	Strain-level type I reinforcement with substrate-binding-domain support.
extracellular_scl_pha_dep_type_I	8d38501c7ecc860bfb416dd46b1a6bca4151e46a133b14b20ec5ca47bf537744	provisional_model_seed	current_provisional_profile_seed	bac-P12625	P12625	Ralstonia pickettii	Bacteria	E2	488	01_reference_library/seeds/bacteria/P12625.faa	455fe6dbd428596b300d94c96138390610dddb81dcce65e0b4a2fa632c5c1fa3	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-25	https://www.uniprot.org/uniprotkb/P12625/entry	10.1128/jb.171.1.184-189.1989;10.1073/pnas.89.19.8990	2644188;1409594		functional literature-backed sequence with UniProt reviewed status	>bac-P12625|P12625	cf3dbdaf11816029de69c5057ac2b1f572d87cee8deaee89b28f02f74698eaef	yes	High-confidence bacterial seed with limitations recorded
extracellular_scl_pha_dep_type_I	8d38501c7ecc860bfb416dd46b1a6bca4151e46a133b14b20ec5ca47bf537744	provisional_model_seed	current_provisional_profile_seed	bac-ZP_01169502	ZP_01169502.1	Bacillus sp. NRRL B-14911	Bacteria	E1	595	01_reference_library/seeds/bacteria/ZP_01169502.1.faa	5b7c4ddfb4d9703628b7e5a0a3b63d0c7321acd83a0e17365415f16d39b4fb30	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version ZP_01169502.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/ZP_01169502.1	10.1128/AEM.06069-11	21948827		direct biochemical extracellular PHB depolymerase evidence	>bac-ZP_01169502|ZP_01169502.1	cf3dbdaf11816029de69c5057ac2b1f572d87cee8deaee89b28f02f74698eaef	yes	Independent type I extracellular scl-PHA accession from Bacillus sp. NRRL B-14911.
extracellular_scl_pha_dep_type_II	d90af7a8879dce760b4b80ef18691ce1f6a25f59c852affb333cf0929cc89e0b	provisional_model_seed	current_provisional_profile_seed	bac-AAB40611	AAB40611.1	Alcaligenes faecalis AE122	Bacteria	E1	635	01_reference_library/seeds/bacteria/AAB40611.1.faa	7ebb812cfc9e3224453eb1edc6795aec758e213548a26f03aa1c8820ccdefafb	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version AAB40611.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/AAB40611.1	10.1016/S0167-4781(97)00011-0	9177489		direct biochemical extracellular PHB depolymerase evidence	>bac-AAB40611|AAB40611.1	99354853bd04617b4e3cf5eba400ec17f576c346eae6b97f21313305f2c728d5	yes	Independent type II extracellular scl-PHA accession from Alcaligenes faecalis AE122.
extracellular_scl_pha_dep_type_II	d90af7a8879dce760b4b80ef18691ce1f6a25f59c852affb333cf0929cc89e0b	provisional_model_seed	current_provisional_profile_seed	bac-BAA35137	BAA35137.1	Acidovorax sp. TP4	Bacteria	E1	491	01_reference_library/seeds/bacteria/BAA35137.1.faa	52319625f86c224400c8844259ddf85276af139bec8d72a6b91a02635d89a583	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version BAA35137.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/BAA35137.1	10.1023/A:1021885901119			direct extracellular PHB depolymerase purification and gene characterization	>bac-BAA35137|BAA35137.1	99354853bd04617b4e3cf5eba400ec17f576c346eae6b97f21313305f2c728d5	yes	Cross-genus type II extension
extracellular_scl_pha_dep_type_II	d90af7a8879dce760b4b80ef18691ce1f6a25f59c852affb333cf0929cc89e0b	provisional_model_seed	current_provisional_profile_seed	bac-BAA92354	BAA92354.1	Caldimonas manganoxidans	Bacteria	E1	495	01_reference_library/seeds/bacteria/BAA92354.1.faa	61d79f4695e4dce48200adf01f84aafbc13cb4a8074af57f77d8c0b43ed9ac75	NCBI Protein	NCBI Protein accessed 2026-07-26	accession.version BAA92354.1	2026-07-26	https://www.ncbi.nlm.nih.gov/protein/BAA92354.1	10.1016/S0922-338X(98)80080-9			direct biochemical extracellular PHB depolymerase evidence	>bac-BAA92354|BAA92354.1	99354853bd04617b4e3cf5eba400ec17f576c346eae6b97f21313305f2c728d5	yes	Thermophilic type II extracellular scl-PHA accession from the Leptothrix sp. HS / Caldimonas manganoxidans lineage.
extracellular_scl_pha_dep_type_II	d90af7a8879dce760b4b80ef18691ce1f6a25f59c852affb333cf0929cc89e0b	provisional_model_seed	current_provisional_profile_seed	bac-O05527	O05527	Delftia acidovorans	Bacteria	E1	494	01_reference_library/seeds/bacteria/O05527.faa	6fda0e8c63c6173c7259587de2dae368fcbec588524ae228d58d3e9d1b92bb1e	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-25	https://www.uniprot.org/uniprotkb/O05527/entry	10.1128/aem.63.12.4844-4852.1997	9406404		direct biochemical activity on PHB film and secreted localization	>bac-O05527|O05527	99354853bd04617b4e3cf5eba400ec17f576c346eae6b97f21313305f2c728d5	yes	Primary high-confidence bacterial extracellular seed
extracellular_scl_pha_dep_type_II	d90af7a8879dce760b4b80ef18691ce1f6a25f59c852affb333cf0929cc89e0b	provisional_model_seed	current_provisional_profile_seed	bac-Q5YEW3	Q5YEW3	Schlegelella sp. KB1a	Bacteria	E1	492	01_reference_library/seeds/bacteria/Q5YEW3.faa	93b085824802ab318bc74ef8925f59b3fdaad7a32ba22c9f19ea46b1b557b9d1	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/Q5YEW3/entry	10.1007/s00203-004-0684-2	15340791		direct thermotolerant PHB depolymerase characterization with signal peptide and type 2 domain architecture support	>bac-Q5YEW3|Q5YEW3	99354853bd04617b4e3cf5eba400ec17f576c346eae6b97f21313305f2c728d5	yes	Type II reinforcement with signal peptide and domain-architecture support.
intracellular_mcl_pha_dep	14ac60e28f78cdf54d6276b5368038702b1c35f2c4f09cb429e4e5634be5bd6f	provisional_model_seed	retain_only_after_accession_level_experimental_evidence_audit	bac-B7UCC9	B7UCC9	Pseudomonas fluorescens	Bacteria	E2	284	01_reference_library/seeds/bacteria/B7UCC9.faa	dc5d90f43832ef1e035ea848423601a96b3e4fd64cbd73ecc0f4a07ce6b30d09	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/B7UCC9/entry	10.1016/j.biortech.2010.01.082	20153638		phaZ-disrupted mcl-PHA production study with UniProt/EMBL sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row	>bac-B7UCC9|B7UCC9	2b8c5306c6d3bbe3aa433018fc98f711142177bd82f58b00eb20514041703981	yes	Adds Pseudomonas fluorescens/BM07 lineage support to reduce KT244x over-representation in the intracellular mcl-PHA model.
intracellular_mcl_pha_dep	14ac60e28f78cdf54d6276b5368038702b1c35f2c4f09cb429e4e5634be5bd6f	provisional_model_seed	retain_only_after_accession_level_experimental_evidence_audit	bac-Q5Q135	Q5Q135	Pseudomonas sp. KBOS 03	Bacteria	E2	284	01_reference_library/seeds/bacteria/Q5Q135.faa	7f6cbffa11aa7f4cb41a9e26b535308296fad94945eda495ac5bf097d59b55af	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/Q5Q135/entry	10.1111/j.1365-2672.2006.02973.x	16834606		mcl-PHA producer diversity study with phaZ sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row	>bac-Q5Q135|Q5Q135	2b8c5306c6d3bbe3aa433018fc98f711142177bd82f58b00eb20514041703981	yes	Adds activated-sludge mcl-PHA producer sequence support; one KBOS representative kept to limit redundancy from the same study.
intracellular_mcl_pha_dep	14ac60e28f78cdf54d6276b5368038702b1c35f2c4f09cb429e4e5634be5bd6f	provisional_model_seed	retain_primary_experimental_anchor	bac-Q5Y152	Q5Y152	Pseudomonas putida KT2442	Bacteria	E1	285	01_reference_library/seeds/bacteria/Q5Y152.faa	a51bdcfbb87cda98645cae25c9878a7636331de2d06e2de75279eb3731543ad9	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-25	https://www.uniprot.org/uniprotkb/Q5Y152/entry	10.1074/jbc.M608119200	17170116		direct biochemical evidence for intracellular mcl-PHA depolymerase	>bac-Q5Y152|Q5Y152	2b8c5306c6d3bbe3aa433018fc98f711142177bd82f58b00eb20514041703981	yes	PHA bridge row to preserve DED mcl family coverage without diluting PHB core
intracellular_mcl_pha_dep	14ac60e28f78cdf54d6276b5368038702b1c35f2c4f09cb429e4e5634be5bd6f	provisional_model_seed	retain_only_after_accession_level_experimental_evidence_audit	bac-Q88D24	Q88D24	Pseudomonas putida KT2440	Bacteria	E1	283	01_reference_library/seeds/bacteria/Q88D24.faa	fc6d20b30eec295860ed2238d425960d718024e686d0b71a931672f1742490c7	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/Q88D24/entry	10.1007/s00253-025-13605-z	41055782		direct intracellular mcl-PHA mobilization enzyme with biochemical support	>bac-Q88D24|Q88D24	2b8c5306c6d3bbe3aa433018fc98f711142177bd82f58b00eb20514041703981	yes	New intracellular mcl-PHA accession from the KT2440 lineage; complements the existing KT2442 seed.
intracellular_mcl_pha_dep	14ac60e28f78cdf54d6276b5368038702b1c35f2c4f09cb429e4e5634be5bd6f	provisional_model_seed	retain_only_after_accession_level_experimental_evidence_audit	bac-Q8VV57	Q8VV57	Pseudomonas chlororaphis subsp. aureofaciens	Bacteria	E2	286	01_reference_library/seeds/bacteria/Q8VV57.faa	f2af8999987e573a7e3a6fec870ef06321660c2d0e29be4adddc3284ae418e5a	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/Q8VV57/entry	10.1007/s00284-001-0063-z	11815858;11916262		cloned PHA biosynthesis locus includes phaZ sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row	>bac-Q8VV57|Q8VV57	2b8c5306c6d3bbe3aa433018fc98f711142177bd82f58b00eb20514041703981	yes	Adds chlororaphis/aureofaciens group sequence diversity while keeping evidence bounded to sequence and locus-level support.
intracellular_mcl_pha_dep	14ac60e28f78cdf54d6276b5368038702b1c35f2c4f09cb429e4e5634be5bd6f	provisional_model_seed	retain_only_after_accession_level_experimental_evidence_audit	bac-Q9AGB5	Q9AGB5	Pseudomonas nitroreducens	Bacteria	E2	285	01_reference_library/seeds/bacteria/Q9AGB5.faa	378dea3a3c5b70faa63e408519d592bbb3f7c3879790e7f0e7a4efaac9f5d3e2	UniProtKB	UniProtKB 2026_02	sequence version 2	2026-07-26	https://www.uniprot.org/uniprotkb/Q9AGB5/entry	10.1111/j.1574-6968.2001.tb10637.x	11430409		PCR-cloned type II PHA biosynthesis locus includes phaZ sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row	>bac-Q9AGB5|Q9AGB5	2b8c5306c6d3bbe3aa433018fc98f711142177bd82f58b00eb20514041703981	yes	Adds nitroreducens/multiresinivorans-group diversity; retained as E2 sequence/locus evidence rather than direct activity evidence.
intracellular_mcl_pha_dep	14ac60e28f78cdf54d6276b5368038702b1c35f2c4f09cb429e4e5634be5bd6f	provisional_model_seed	retain_only_after_accession_level_experimental_evidence_audit	bac-Q9R9W3	Q9R9W3	Pseudomonas putida	Bacteria	E2	283	01_reference_library/seeds/bacteria/Q9R9W3.faa	3ac6941a9f63ea9360c5b296cb441c6f34df37078d767a6133f9f55ff272f7db	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/Q9R9W3/entry	10.1186/1471-2180-10-254	20937103		functional intracellular mcl-PHA evidence from knockout and biochemical work	>bac-Q9R9W3|Q9R9W3	2b8c5306c6d3bbe3aa433018fc98f711142177bd82f58b00eb20514041703981	yes	Independent intracellular mcl-PHA accession from strain U; kept as a secondary supporting branch.
intracellular_mcl_pha_dep	14ac60e28f78cdf54d6276b5368038702b1c35f2c4f09cb429e4e5634be5bd6f	provisional_model_seed	retain_only_after_accession_level_experimental_evidence_audit	bac-Q9Z3Y0	Q9Z3Y0	Pseudomonas sp. 61-3	Bacteria	E2	285	01_reference_library/seeds/bacteria/Q9Z3Y0.faa	dff12fce9c566ad511e0352749c2e22f770563347ed63eae6bb6b0f30144a1e2	UniProtKB	UniProtKB 2026_02	sequence version 1	2026-07-26	https://www.uniprot.org/uniprotkb/Q9Z3Y0/entry		9851987		cloned PHB/PHA biosynthesis locus includes phaZ sequence; strong current-family HMM match; no direct purified intracellular depolymerase assay recorded for this row	>bac-Q9Z3Y0|Q9Z3Y0	2b8c5306c6d3bbe3aa433018fc98f711142177bd82f58b00eb20514041703981	yes	Adds classic Pseudomonas sp. 61-3 locus-level sequence support for the mcl-compatible intracellular branch.
